IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
144.21.32.165,443,TRUE,FRA?,Europe,Frankfurt,321 ms,84809 kB/s
138.2.122.55,443,TRUE,SIN?,Asia Pacific,Singapore,353 ms,84780 kB/s
8.222.249.129,443,TRUE,SIN?,Asia Pacific,Singapore,237 ms,84767 kB/s
8.219.134.174,443,TRUE,SIN?,Asia Pacific,Singapore,147 ms,84766 kB/s
141.144.200.167,443,TRUE,FRA?,Europe,Frankfurt,218 ms,84733 kB/s
130.162.233.200,443,TRUE,FRA?,Europe,Frankfurt,298 ms,84679 kB/s
8.219.63.198,443,TRUE,SIN?,Asia Pacific,Singapore,115 ms,84645 kB/s
141.144.205.24,443,TRUE,FRA?,Europe,Frankfurt,225 ms,84588 kB/s
193.123.38.208,443,TRUE,FRA?,Europe,Frankfurt,219 ms,84544 kB/s
140.238.5.32,443,TRUE,ICN?,Asia Pacific,Seoul,84 ms,84415 kB/s
140.238.126.247,443,TRUE,FRA?,Europe,Frankfurt,213 ms,84386 kB/s
129.154.212.68,443,TRUE,SIN?,Asia Pacific,Singapore,131 ms,84376 kB/s
144.24.84.89,443,TRUE,SIN?,Asia Pacific,Singapore,353 ms,84373 kB/s
8.219.2.235,443,TRUE,SIN?,Asia Pacific,Singapore,96 ms,84339 kB/s
158.101.87.55,443,TRUE,SIN?,Asia Pacific,Singapore,231 ms,84197 kB/s
141.147.96.65,443,TRUE,FRA?,Europe,Frankfurt,296 ms,84164 kB/s
193.123.183.24,443,TRUE,FRA?,Europe,Frankfurt,297 ms,84162 kB/s
146.56.101.141,443,TRUE,ICN?,Asia Pacific,Seoul,106 ms,84159 kB/s
144.24.78.162,443,TRUE,ICN?,Asia Pacific,Seoul,103 ms,84112 kB/s
8.219.70.246,443,TRUE,SIN?,Asia Pacific,Singapore,110 ms,84046 kB/s
158.180.65.145,443,TRUE,ICN?,Asia Pacific,Seoul,115 ms,84027 kB/s
143.47.183.1,443,TRUE,FRA?,Europe,Frankfurt,325 ms,84025 kB/s
8.219.140.25,443,TRUE,SIN?,Asia Pacific,Singapore,356 ms,84017 kB/s
152.70.177.71,443,TRUE,FRA?,Europe,Frankfurt,241 ms,83995 kB/s
141.148.226.21,443,TRUE,FRA?,Europe,Frankfurt,219 ms,83957 kB/s
8.219.254.241,443,TRUE,SIN?,Asia Pacific,Singapore,142 ms,83887 kB/s
8.222.234.139,443,TRUE,SIN?,Asia Pacific,Singapore,226 ms,83847 kB/s
141.144.246.71,443,TRUE,FRA?,Europe,Frankfurt,291 ms,83826 kB/s
152.70.26.153,443,TRUE,FRA?,Europe,Frankfurt,327 ms,83805 kB/s
141.147.46.129,443,TRUE,FRA?,Europe,Frankfurt,218 ms,83788 kB/s
